username	main	talk	user	usertalk
Balinde	7	0	0	0
Ballakallab	2	0	0	0
Ballinhorse	3	0	1	0
Balwinderdeep	41	0	0	0
Bamaj79	3	0	0	0
Bamsi	1	0	0	0
Bancroft56	11	0	0	0
Bandaikhuda	3	0	0	0
Bandit1.7	2	0	0	0
Banditsan	138	0	0	0
BankDayAll	4	0	0	0
Bannerbabe95	2	0	0	0
Bapho	58	5	8	0
Barboretto	8	1	0	0
Barefoottomboy	2	0	0	0
Barmston5	65	0	0	0
Barrsman	1	0	0	0
Barumbroki	1	0	0	0
Bas2spaz	4	0	0	0
Bastian1111	2	0	0	0
BastianBlank	11	0	0	0
Batmun	3	0	0	0
Battlehawk	2	0	0	0
Baxter.holmes	5	0	0	0
Bburum	8	1	0	0
Bcfcbenny11	7	0	0	3
Bchess77	2	0	0	0
Bckb08	1	0	0	0
Bcorr	133	26	2	26
Bdauk	6	0	0	0
Bdog42	3	0	0	0
Bdubs89	3	0	0	0
BeaJerk	4	0	0	0
Bearboat	1	0	0	0
Beatlettex4	1	0	0	0
Beatmarc	1	0	0	0
Beatsauce302	5	0	0	0
Beattym	2	0	0	0
Beckstor1	1	0	0	0
Belinda888	12	0	4	0
Benailes	8	0	0	0
Benbenben93	5	0	0	0
Benbh	5	0	0	0
BenCampbell1234	3	0	0	0
BenDeBen13twiki	1	0	0	0
Benkeboy	44	22	0	2
Bennywezzo	3	0	0	0
Benzelk	1	0	0	0
Berchemboy	16	0	1	0
Bernardlan	13	0	0	0
Berniemcken	15	0	0	0
Bertha32	15	0	0	0
BerwynTalker	25	0	0	1
Betnybee2	2	0	0	0
Bettafish1	1	0	0	0
Beyond4560	1	0	0	0
Bfarbs	4	0	0	1
Bgb818	1	0	0	0
Bgounares	1	0	0	0
Bgstine	9	0	0	0
Bharath628	11	6	1	11
Bhenry51	2	0	0	0
Big bad noose	12	0	0	0
Bigbug21	10	1	0	0
Biggles21	2	0	0	0
Biggreenjelly	1	0	0	0
Bigindallas	1	0	0	0
Bilaljahania	2	0	0	0
Bill W Ca	1	0	0	0
Billy beluga	5	4	2	0
BIOG-ICAR	74	0	0	0
Bioniclepluslotr	1	1	0	1
Biosphere75	3	1	0	0
Birostris	5	0	0	0
Bk burger shot	16	9	3	1
Bkmetz	6	0	0	0
BlackKnight42	1	0	0	0
Blackmystry	9	0	0	0
BlackNeo	7	0	0	0
Blackout093	3	0	0	0
Blacksaingrain	1	0	0	0
Blacwiki	13	10	0	4
Blakablaka	1	0	0	0
Blokiddo	1	0	0	0
Blondiee22	1	0	0	0
Bloodedoatmeal	3	0	0	0
Blopter2	11	0	0	0
Blubberbear	3	0	0	0
Bluebushell	11	0	0	0
Bluekimba	1	0	0	0
BlueLudeDude	1	0	0	0
Blueoakenergy	8	0	0	7
Bluesky71551	23	0	0	0
BluesPsych	21	0	0	0
Bluffaloo	5	0	0	0
Blurriegirl	8	0	0	0
Bob Loves Grib	22	1	1	6
Bobby 99999	1	0	0	0
Bocknobby	1	0	0	0
Boisterous Hal	12	0	0	0
Bojnin	9	0	0	0
Boken	10	0	0	0
Bokwus	10	0	0	0
Bomjumaku	1	0	0	0
Bon nui	1	0	0	0
Bondo455	2	0	0	0
