Project ID,Minnesota,International,Birth Year,Verbal SAT,Math SAT,Cumulative GPA,# essays in portfolios,Abroad Credits,AP Credits,CS Credits,English Credits,Science Credits,Writing Credits,Needs Work
908331,0,0,1983,780,720,3.88,5,18,36,0,6,108,12,-1
908870,0,0,1984,580,720,3,3,0,12,6,0,6,6,1
902291,0,0,1983,700,720,3.54,3,16,36,0,0,12,6,-1
908260,0,0,1984,800,720,3.31,5,0,18,0,72,6,24,-1
909270,0,0,1984,690,730,3.34,3,0,30,12,18,12,18,1
910101,0,0,1983,650,730,3.58,5,0,6,0,6,6,6,1
909015,0,0,1983,690,730,3.6,3,18,12,6,6,6,6,-1
913448,0,0,1984,690,740,3.82,4,18,6,0,0,18,12,-1
907983,0,0,1984,660,740,3.08,5,18,0,0,0,46,12,1
908138,0,0,1984,700,740,3.76,3,15,30,6,0,6,18,1
916063,0,0,1985,650,740,3.07,4,0,6,0,12,24,24,1
490374,0,0,1983,780,750,2.65,0,0,24,0,30,76,42,1
916631,0,0,1985,670,750,3.28,3,0,24,0,9,0,12,1
916867,0,0,1985,800,750,3.39,3,0,36,12,0,18,6,1
913445,0,0,1985,800,750,3.84,4,0,24,0,12,90,12,-1
560039,0,0,1983,740,760,3.37,3,0,18,6,24,6,18,-1
917035,0,0,1985,710,760,3.66,3,0,36,0,6,0,6,-1
912852,0,0,1984,640,760,3.55,3,16,0,0,12,35,24,1
914948,0,0,1985,720,760,3.32,3,0,12,36,0,36,6,1
445119,0,0,1983,800,760,3.58,3,18,36,0,18,98,12,-1
909279,0,0,1984,800,760,3.83,3,18,0,18,6,24,6,-1
915666,0,0,1985,730,760,3.54,3,0,6,0,15,6,12,-1
461154,0,0,1983,800,770,3.06,3,0,18,6,27,12,18,1
460988,0,0,1983,700,780,3.99,3,0,30,0,6,112,18,-1
603278,0,0,1983,680,790,3.17,3,0,30,0,0,24,18,1
908586,0,0,1984,710,790,3.56,3,0,36,0,6,95,18,1
907895,0,0,1984,760,790,3.95,5,0,36,12,6,12,6,-1
909706,0,0,1983,650,800,3.61,4,16,0,0,6,107,6,-1
913537,0,0,1985,660,800,3.55,3,0,24,0,21,104,18,1
915092,0,0,1985,720,800,3.91,4,0,6,6,18,118,12,1
915937,0,0,1985,800,800,3.41,3,0,36,6,6,26,6,-1
910483,1,0,1980,520,500,3.22,4,0,0,0,0,0,6,1
910554,1,0,1983,570,520,3.46,3,16,0,6,10,6,6,1
909717,1,0,1983,600,580,3.19,3,0,6,0,0,38,12,1
902471,1,0,1982,360,590,3.08,3,0,0,0,6,6,18,1
916844,1,0,1985,650,610,3.36,4,16,6,0,18,6,24,1
913121,1,0,1984,640,620,3.75,3,0,18,0,6,30,6,-1
913219,1,0,1984,600,620,3.04,4,18,0,0,12,6,12,1
914977,1,0,1984,700,630,3.16,4,0,6,0,12,109,12,1
908366,1,0,1983,710,630,3.46,4,0,0,6,81,18,48,-1
910067,1,0,1983,660,650,2.67,3,0,0,6,18,12,24,1
916561,1,0,1985,720,650,3.01,4,0,6,78,12,78,12,-1
913102,1,0,1985,640,660,3.48,3,18,0,0,6,88,6,1
896554,1,0,1982,650,660,3.79,5,18,24,0,18,6,12,-1
896561,1,0,1982,620,670,2.88,4,0,0,81,6,81,6,-1
908706,1,0,1983,670,670,3.56,4,34,0,6,6,6,12,-1
916429,1,0,1984,510,680,3.03,4,16,6,6,6,6,6,1
567375,1,0,1982,750,690,3.84,3,0,12,18,3,18,12,-1
913055,1,0,1985,760,690,3.61,5,0,12,78,15,84,12,-1
908776,1,0,1984,650,700,3.37,4,0,12,0,12,44,12,-1
908616,1,0,1983,660,700,3.25,3,32,0,6,82,32,30,1
898003,1,0,1982,740,710,3.44,3,0,30,75,6,75,12,-1
445230,1,0,1982,700,710,3.73,4,18,0,0,6,12,18,-1
402368,1,0,1983,760,720,3.38,3,0,36,0,12,56,24,1
902216,1,0,1983,700,730,3.14,4,0,6,12,12,12,12,-1
913399,1,0,1985,760,730,3.53,4,18,30,0,102,6,18,-1
908740,1,0,1983,640,730,2.62,3,16,6,0,12,0,12,1
567447,1,0,1983,800,740,3.86,4,0,30,0,12,66,18,-1
916085,1,0,1984,710,770,3.51,4,0,0,0,6,88,12,-1
908692,1,0,1983,600,770,3.89,4,0,12,18,12,30,18,-1
511528,1,0,1982,660,790,3.22,5,0,30,6,3,12,12,1
,,,,,,0.34676512,,,,,,,,
,,,,,,3.385744681,,,,,,,,
